"","MB01","MB02","MB03","MB14","MB19","MB47","MB50","MB51","MB52","MB53","MB04","MB05","MB06","MB24","MB25","MB40","MB43","MB46","MB49","MB55","MB08","MB09","MB10","MB16","MB17","MB22","MB07","MB13","MB15","MB20","MB39","MB48","MB54","MB21","MB30","MB31","MB33","MB34"
"PNPO",-2.16475,-1.57002,-0.605876,-0.816005,0.218989,0.27228,-0.642126,0.616118,-1.76413,-0.193875,-1.76578,-2.8761,-1.42767,-1.91406,-0.713333,-1.69679,-2.20237,-2.41834,-1.13901,-1.43142,0.085504,-0.441678,-1.69333,0.654926,-0.350101,0.344864,0.154502,-0.506544,-0.623571,0.0925662,0.396913,-0.413418,-0.866876,0.0736715,0.500233,-0.44031,0.749258,0.600069
"DPP9",-3.11275,-2.73325,-3.0937,-2.25638,-2.87519,-2.46514,-2.61867,-2.64652,-2.68973,-2.47933,-2.95784,-3.35464,-2.78544,-2.8847,-2.49895,-2.64048,-3.28773,-2.23371,-3.10106,-2.23744,-3.02305,-2.67549,-2.88568,-2.89448,-3.07658,-3.06387,-2.66505,-3.02865,-2.87172,-1.79374,-3.68275,-2.24081,-1.85683,-2.60334,-2.80178,-2.86492,-2.72767,-2.50293
"UBP8",-0.351143,-0.156579,-0.409266,-0.132978,-0.00272156,-0.0827306,-0.501191,-0.0879518,-0.0569936,-0.231745,-0.555231,-0.861722,-0.15652,-0.427447,-0.502334,-0.170885,-0.484999,0.619207,0.178634,-0.24795,0.119893,-0.12545,0.172062,0.136241,0.0355732,-0.147905,0.165282,-0.355821,0.247547,0.776144,-0.816064,0.242882,0.678571,-0.61445,0.207941,0.553581,0.162027,0.243743
"LR16A",-0.479564,1.52136,-2.48629,0.410901,-0.83328,-0.0505519,NA,-0.215581,1.60419,1.9701,1.26989,1.29803,2.31412,2.0762,0.957131,1.32781,2.08822,2.67513,0.868705,1.41766,NA,0.127097,-1.69042,-2.69421,-0.487639,-0.99911,NA,0.736321,0.72504,-1.29941,-0.173497,-0.822913,0.473532,-2.2707,NA,NA,-1.13013,-1.23776
"ECHM",0.849241,1.24479,0.525989,0.724895,0.588927,-1.17814,-1.07129,0.204155,0.185063,0.59582,0.709771,1.00462,0.780354,0.625116,-0.164107,1.04134,0.532504,0.127173,0.648247,0.503835,0.214718,0.444301,0.00386929,-0.400205,0.0870099,-0.271016,0.157875,-0.478716,-0.561274,-1.01988,-0.628854,0.0668225,-0.615711,0.321587,0.191614,0.318251,0.781656,0.182795
"UBXN1",-1.29028,0.263152,-0.541634,-0.36988,-0.530783,0.687725,0.0874023,0.244913,0.192633,0.449892,-0.518198,0.472728,-0.0575903,0.23184,-0.0329687,-0.190969,-0.299553,-0.10807,-0.125511,-0.105479,0.033167,0.146485,0.111264,0.776102,0.0613081,0.233038,0.308122,0.370139,-0.0137609,-0.00683583,0.630027,0.500498,0.0856937,-0.420683,-0.261256,-0.399754,-0.129946,0.162501
"MOCS3",0.479427,0.78509,0.163456,1.15995,0.256354,0.999349,NA,0.663517,0.465453,0.68824,NA,0.836085,0.395581,0.582784,-0.404802,0.084987,0.702784,1.09511,-0.57217,0.451827,1.01367,0.920549,0.752466,1.06886,0.981035,1.09178,1.05428,0.99794,1.47512,1.34471,1.47375,0.97032,NA,0.262241,0.524654,NA,NA,1.33835
"RL36",-2.10215,-2.09417,-1.44538,-2.09511,-1.71487,-2.72693,-1.71585,-1.73598,-1.8658,-1.55508,NA,-2.29972,-3.06135,-2.39312,-2.1458,-2.61913,-1.72237,-2.67448,-3.11146,-2.49825,NA,-2.63546,-3.74581,-4.99437,-2.82721,-2.69864,-2.89043,-3.06253,-4.26564,-2.93196,-2.74559,-2.96494,-2.19514,-2.31881,-1.47582,-1.42782,-2.54047,-3.2328
"ACOX3",-0.741853,0.358408,-0.639555,0.759878,-0.61185,-0.42786,-0.0412919,-0.69568,-1.22613,0.0755014,-0.301638,-0.114059,-0.427517,0.0717718,-0.442049,-0.461783,0.815786,-0.329311,-0.546273,0.454795,NA,0.165301,-0.638732,0.0913318,0.0735804,0.75389,NA,0.615834,NA,NA,-1.19401,NA,-0.26782,-1.2929,NA,-0.2756,-0.753523,-0.253884
"TF3C1",0.0141307,-0.194449,-0.179736,-0.239056,0.379091,0.044344,-0.0593881,-0.246292,-0.482614,-0.378748,-0.826587,0.131502,-0.888376,0.00553507,-0.895569,-0.558587,-0.124084,0.191337,-0.161962,-0.558912,-0.0269302,0.121203,-0.267504,0.303224,0.293109,-0.199537,0.356598,-0.788695,0.426671,0.376723,-0.117754,-0.212645,-0.213158,-0.2512,-0.122807,0.263966,-0.667846,-0.512618
"UBP11",-0.385178,1.1027,-0.132567,-0.0344538,-0.0582537,1.41978,-0.0311935,-0.104074,0.316769,0.373113,0.195016,0.613686,-0.355964,0.761641,-0.137328,0.271579,-0.259212,1.17945,0.29612,0.446602,0.648958,-0.0485078,0.304965,1.55595,0.744542,0.815534,0.983662,0.487013,0.701865,0.325568,-0.116349,1.16739,0.670475,0.106904,0.305188,0.742096,0.272544,-0.117508
"MATR3",0.289509,0.758132,0.617091,0.552931,-0.0105221,0.933664,0.591447,0.555482,0.391607,0.543871,0.371723,0.562647,0.262986,0.629066,0.378294,0.761428,0.868057,0.720126,0.23437,0.538356,0.634206,1.04297,0.625439,0.797066,0.808231,1.03562,0.73149,0.984782,0.667267,0.658493,0.678438,0.887512,1.0162,0.706885,0.518198,0.380961,0.706878,0.773986
"PSA7",-0.116256,-0.154551,-0.437573,-0.359874,-0.654938,-0.344631,-0.351853,-0.36334,-0.349571,-0.294086,-0.581851,-0.132152,-0.292567,-0.23854,-0.600998,-0.472321,-0.471727,-0.265904,-0.357992,-0.426144,-0.357265,-0.0686366,-0.505182,-0.388863,-0.764643,-0.678422,-0.26786,-0.287343,-0.252977,-0.288681,-0.437033,-0.219558,-0.043152,-1.05034,-0.233692,-0.260968,-0.20456,0.0489096
"AKAP1",0.696977,-0.63167,0.981945,1.49478,-1.28922,-0.777648,0.438023,-0.419277,1.73832,0.613912,-0.322136,-2.14241,-1.69415,-1.536,-1.30082,-1.48411,-1.36923,-2.46219,-1.11961,-0.30383,-1.46782,-1.85248,-1.16406,-0.553268,-3.41052,-1.69106,-0.978699,-2.50043,-0.789892,-0.925735,-1.06021,-2.54618,-1.8866,-1.65438,-1.46573,-2.16025,-1.80837,-0.974645
"P3C2A",-1.05097,-1.49036,-1.24287,-0.863661,-1.17721,-2.12896,-0.990157,-1.39134,-0.958973,-0.557558,-1.47191,-0.841536,-1.18154,-1.77468,-1.28773,-1.30603,-1.28207,-1.15469,-1.40083,-1.63185,-0.76487,-1.74107,-1.47457,-2.51851,-0.804574,-0.446128,-1.80433,-0.869545,-3.26353,-2.91391,-1.94516,-2.01946,-1.90345,-0.830287,-0.87299,-0.139987,-1.3883,-0.791732
"HN1",-0.345959,0.157627,-0.288347,-0.0190923,-1.58738,-0.685351,1.46939,-0.214071,0.222259,0.559359,-0.0548181,0.542568,-2.03929,0.666271,1.24224,-0.48265,0.164583,0.330548,-0.0418217,0.75878,-0.206053,0.12099,0.42534,0.867146,0.115778,0.507859,-0.833603,-1.33626,0.42909,1.55368,0.199898,1.95181,-0.691091,-1.37848,-0.202467,-0.191946,-0.430521,-0.086408
"PP1G",-0.198777,-0.463447,-0.0791824,0.212833,-0.240528,NA,-0.150139,0.325786,0.539854,0.00584842,-0.776285,-0.534164,-0.415892,-0.176213,-0.700515,0.196017,-0.228782,-0.697741,-0.54096,-0.652849,-0.0938709,0.0737777,0.105482,-0.0989568,-0.16106,0.129751,0.315888,NA,NA,NA,0.411339,NA,-0.0557908,0.186314,NA,-0.32567,NA,0.187896
"NGDN",-0.145855,-1.67587,0.760923,-1.58791,-1.7825,-1.81046,-0.856244,-1.17308,-0.712732,-0.514487,-4.93543,-3.03127,-2.74018,0.229803,-2.7648,-1.93935,-2.45684,-2.22535,NA,NA,-0.963542,-1.48234,NA,NA,NA,NA,-2.01634,-3.39233,NA,NA,-3.00554,-0.224375,-2.50106,-1.18846,-1.06456,NA,-2.00373,-2.26203
"RAGP1",-0.0775014,-0.833168,-0.230055,-0.959948,-1.01061,-0.727728,-0.437733,-0.314259,-1.08372,-1.04665,-1.28675,-0.45217,-1.09969,-0.644003,-0.966165,-0.695066,-0.755791,-0.477687,-0.819647,-1.1198,-1.38049,-0.863078,-1.37511,-1.25375,-1.54149,-1.52695,-1.15462,-1.09487,-0.953289,-1.05171,-1.0298,-0.880285,-0.604361,-0.503676,-0.677663,-0.893684,-0.575686,-0.720695
"FMN2",-3.16519,-4.75067,-3.22299,-1.88467,-2.65356,-2.04902,NA,-0.647769,-2.63277,0.129889,-0.799409,-1.68484,-1.9409,-1.31969,-0.193364,-1.36543,-1.96762,-2.331,-1.68808,-0.964465,1.9632,-0.0243485,2.19417,-0.756952,1.46555,2.13492,2.70218,-1.80774,-1.27475,0.616462,0.836266,-0.879099,0.482816,-0.823423,-1.64462,-1.26579,-1.14428,-1.34988
"PRS8",-0.214374,-0.937122,-0.278954,-1.09676,-0.642208,-0.176764,0.0310818,-0.0985466,-0.543913,-0.407619,-0.847139,0.096551,-0.42111,-0.268217,-0.0835997,-0.206167,-0.575713,-0.859921,-0.267071,-0.443981,-0.136331,0.170119,-0.1605,-0.259033,-0.510099,-0.172255,-0.0853215,-0.268709,0.068851,-0.0353946,-0.0401953,0.176883,0.359421,-0.407422,-0.154981,-0.190528,-0.040419,0.0995203
"LGUL",-1.26706,-0.787167,-1.0183,-0.431177,-1.06101,-0.464153,-0.792979,-0.69906,-0.727993,-0.653203,-0.452536,-0.119364,0.136254,-0.413198,-0.838623,0.613108,-0.0906226,0.482388,-0.00578586,-0.413357,-0.179991,-0.604697,-0.0221002,-0.197864,-0.572125,-0.362235,0.171452,0.228982,0.114087,-0.11884,1.17623,-0.262132,-0.281988,-1.41842,-1.07285,-1.66937,-0.480371,-0.936975
"FACE1",-0.388172,-0.964599,-0.715165,-0.395507,0.719303,-0.939192,-0.336334,-1.30554,-0.677648,-0.58297,-1.14682,-0.364803,-0.865945,-0.971303,-1.24145,1.37089,-0.955356,-1.07407,2.61043,-1.26587,-0.694044,-0.853897,-1.49956,-0.732666,-0.473273,-0.731065,-0.979965,-0.692583,-0.78047,-1.49856,-1.5204,-0.800562,-0.70726,-0.591547,0.0388345,-0.0366589,-0.680112,-0.547014
"UBP14",0.394228,0.09629,0.189032,0.316279,0.38248,0.363837,0.90971,1.14323,0.424614,0.825469,-0.167855,0.563903,0.211197,-0.0527212,0.132903,-0.504713,-0.131721,0.507328,0.100635,-0.0587181,0.110165,0.539359,0.386459,0.132624,0.0194779,0.0937827,0.10801,-0.284395,0.263419,0.516258,-0.0233649,0.36945,0.269301,0.0116049,0.42758,0.000714357,0.00745232,0.137
"UBR4",-0.477287,-0.246433,-0.80275,-0.399695,-0.524529,-0.353626,-0.400561,-1.13502,-0.589371,-0.639538,-0.339138,-0.136321,-0.408253,-0.315309,-0.0346798,-1.15299,-0.31839,-0.112819,-0.345495,-0.31416,-0.407002,0.0162086,-0.222483,-0.369192,-0.128864,-0.254919,-0.136187,-0.254936,0.146565,0.0861458,-0.136442,-0.41426,0.151869,-0.404093,-0.342716,0.400686,-0.728704,-0.248571
"ARP2",-0.471095,-0.83914,-0.772893,-0.393351,-0.529942,-0.532739,-0.214648,-0.790427,-0.229537,-0.397578,0.55955,0.515503,0.236408,0.470543,0.787205,0.208729,0.379948,-0.0187337,-0.326145,0.770521,0.373955,0.079851,0.265369,0.313911,0.36536,0.213313,-0.0503387,-0.297494,0.143667,0.108234,0.223069,0.145323,0.1145,0.0034637,-0.286626,-0.185642,0.00110846,0.0202329
"CCD12",-0.00122701,-0.182348,-0.15406,-0.084832,-0.148999,0.785085,-0.490674,-0.0137457,-0.383844,-0.156963,-0.897828,0.199303,-1.52829,0.861942,-0.831019,-0.0745019,-0.243614,-0.235268,-0.328321,-0.546813,-0.277139,0.44045,-0.541583,0.0524441,-0.23429,-0.957567,0.304987,-0.335535,0.46052,0.229977,-0.0301871,-0.129673,0.30219,-0.680427,-0.0859422,-0.257845,0.0500643,0.27863
"CNO11",0.217892,0.567546,0.485097,0.446544,0.178253,0.58151,0.517544,0.473392,0.320394,0.459003,0.766214,0.912561,0.291307,0.545136,0.13695,0.378244,0.418828,0.289011,0.797716,0.169323,-0.0350795,0.598949,0.0142676,0.354068,0.421239,0.296364,0.25175,0.311139,NA,0.502294,0.00821161,0.370244,0.311077,-0.412727,0.428078,0.642646,0.19551,0.814171
"NOC3L",0.181197,-0.630674,0.493933,-0.506769,-0.850535,-1.94424,-1.04964,0.0722737,-0.495846,-1.00945,-3.3974,-1.49852,-3.36837,-1.15609,-3.3705,-1.34367,-1.32423,-0.926088,-1.01699,-2.25343,-2.91837,-2.81269,-3.0689,-3.09746,-2.31591,-3.52332,-1.98667,-2.66296,NA,NA,NA,-2.43039,-2.7114,-0.508679,-0.200962,-0.0969114,-1.15119,-1.53302
"AMER2",3.22995,4.41353,3.41713,3.62318,4.12317,4.15659,4.05892,4.06361,3.42843,NA,2.52989,4.82311,3.21688,4.76293,3.33238,3.46226,1.94166,4.00041,4.52078,3.91859,5.4339,4.54958,5.2556,6.54389,5.80464,5.04185,4.60645,4.49541,5.81239,5.20407,5.35795,5.27256,6.4527,NA,NA,2.84686,3.98446,3.40183
"RBM25",0.18757,0.376064,0.512767,0.58986,0.046778,0.945197,0.496757,0.448407,0.209328,0.420508,-0.162553,0.16378,-0.179522,0.193456,-0.533006,0.000279172,0.400212,-0.212503,-0.162387,-0.117118,0.213528,0.487774,-0.34222,0.235328,0.382202,-0.00801023,0.365092,0.193292,0.468891,0.0824888,0.0186914,0.389994,0.555482,0.557542,0.364808,0.322958,0.387626,0.404527
"SNX6",0.422313,0.414751,0.330171,0.403317,0.21387,0.610285,0.513295,1.21203,0.440614,0.959788,1.02438,0.663871,1.08721,1.16936,0.89015,1.10804,1.03618,0.663538,0.630438,1.06392,0.100993,0.873086,0.471314,0.764878,0.882081,0.929189,0.696765,0.759234,0.657927,0.506061,0.542393,1.02362,0.516475,1.13608,0.855212,0.797679,1.08077,0.992803
"ARPC4",-0.594464,-0.92395,-0.806002,-0.422954,-0.376718,-0.472179,-0.0326638,-0.715527,0.0418862,-0.321769,0.577597,0.597466,0.365094,0.732822,0.696414,0.364546,0.282356,-0.0131562,0.00475127,0.993624,0.913991,0.212586,0.439342,0.493998,0.387148,0.0430468,0.195766,0.298506,0.299274,0.64737,0.316738,0.502146,0.0350333,0.624154,-0.306463,-0.159817,0.38568,0.139302
"CLCA",-0.483001,-0.184419,-1.0162,-0.637455,-0.866249,-0.619684,-0.544928,-0.541065,-0.379452,-0.0253808,-0.106792,-0.543236,-1.53267,-1.18892,0.673937,-0.258301,-0.5518,-1.11817,-0.713535,0.141628,-0.655462,-0.824244,-0.208431,-0.297825,-0.746742,-1.37113,-0.343103,-0.42711,-0.393465,0.125735,-0.691058,0.037601,-0.20807,-0.877925,-0.578108,-0.680308,-0.218256,-0.46951
"RHOG",-1.1314,-2.10875,-2.6047,-0.523511,-0.793001,-2.04426,-1.40528,-1.14393,-0.709092,-0.643833,-0.398441,0.321423,0.386467,0.0190797,-0.986036,-0.336105,0.144958,-0.535671,-0.520736,-0.426461,-0.685881,-2.09463,-0.74049,-2.38775,-0.756084,-1.28856,-1.01009,-1.31011,-2.24855,-2.60453,-1.40425,-2.34099,-2.17378,-0.0791768,-0.362536,-1.18169,-0.436133,-0.366563
"AAKB1",-0.782929,-0.0306677,-1.38504,-0.934183,0.160221,0.00916136,-0.227432,-1.51901,-1.09176,-0.304737,-0.100093,0.60064,0.0883436,-0.0629032,-0.100878,0.315272,-0.278718,0.115232,-0.256979,-0.175536,-0.146079,-0.132268,0.10484,0.13383,-0.485661,-0.181778,-0.324659,-0.155206,-0.663938,-0.513363,-0.276078,-0.727193,0.328703,0.0531653,NA,0.0109248,0.192214,0.13233
"RPAB1",0.203344,-0.232074,0.352945,0.16476,-0.132597,0.160528,0.478608,0.440839,-0.491504,0.0642338,-1.2321,-0.448603,-1.02445,-0.426021,-0.693573,-0.420656,-0.466412,-0.202723,-0.229899,-0.85728,-0.902674,-0.0100662,-0.631132,-0.494382,-0.37978,-0.482375,-0.1147,-0.350922,-0.250702,-0.587462,-0.064729,-0.267599,0.0226403,-0.0109122,-0.233815,-0.374896,-0.115101,0.0736999
"PRP4B",0.0486393,-0.184015,-0.0414616,-0.0943367,0.0559167,0.306285,-0.226638,-0.100508,-0.236932,0.277338,-0.534689,0.0752666,-0.41556,-0.167349,-0.374921,-0.551599,0.250316,0.17398,-0.399981,-0.193573,-0.188052,0.486518,-0.299588,-0.0148991,0.207968,-0.215263,-0.234567,-0.372774,0.122873,-0.317756,0.0517355,-0.0695405,0.65728,-0.661256,-0.0431649,-0.526471,-0.453337,-0.524421
"UBA3",0.214664,0.643999,-0.120458,0.476689,-0.799131,0.348113,-0.0714216,0.572804,0.738129,-0.0532873,0.12215,0.123893,-0.0990791,0.653203,0.376161,-0.239783,-0.311208,0.234357,0.179557,0.0475312,0.291346,0.211128,0.435971,0.497284,0.279989,-0.0422158,0.353313,0.281504,0.671182,0.644698,0.496093,0.778855,0.208761,0.0449708,0.311935,0.442482,0.20309,0.444464
"RT07",-0.394056,-1.70329,-0.274858,-0.735272,-0.389525,-1.75371,-1.25894,-1.03134,-1.7099,-1.29148,-2.28496,-1.46407,-2.19328,-1.99906,-2.52948,-1.94478,-2.44803,-1.74801,-2.13578,-1.83913,-1.93161,-3.69528,-2.46076,-2.32541,-2.70169,-2.79731,-2.83805,NA,-2.25097,-2.09803,-2.82877,-2.09892,-1.89554,-2.38355,-1.49312,-2.04158,-2.19175,-2.00613
"CENPH",-0.274368,-0.347627,-1.52472,-0.694427,-1.82359,-1.42227,-0.0381312,-1.68896,NA,-0.822183,-2.88451,0.781161,-1.82434,-1.18976,NA,-0.545643,-1.57889,-0.570294,-1.68228,-2.60528,NA,-2.75871,NA,-0.740255,-2.89096,NA,NA,NA,-0.759461,NA,-1.35941,-0.576116,NA,-0.692993,-0.311139,-0.74684,-1.0478,-1.57727
"ZRAB2",0.0918321,0.120418,0.534067,0.141316,-0.207537,1.12421,0.250038,0.841636,0.993443,1.18127,-0.319885,0.328221,-0.443559,0.237914,-0.254006,0.231102,0.369286,0.565742,-0.24369,0.00230369,0.353724,0.618614,0.341655,0.586442,0.233223,0.114208,0.644678,NA,0.405073,NA,NA,0.529911,0.776585,-0.305496,0.129862,0.57488,0.71069,0.763574
"ELOA1",-0.489702,-0.841534,-0.357685,0.008736,-0.360572,-2.07057,-0.647049,-1.46064,0.286264,-0.658627,-0.948828,-0.666097,-2.27878,-1.26235,-0.6901,0.0258537,-0.0128319,-0.568493,-1.81265,NA,-0.343619,-0.683025,-1.30847,-1.78401,-1.25227,-0.676663,-0.951035,NA,-1.98957,NA,-1.38185,NA,-1.52216,-1.93243,-0.566018,-0.376112,-1.73427,-2.84214
"YTDC1",-0.234497,0.534709,0.273226,0.353704,0.198382,0.947235,0.0708097,0.702766,0.121828,0.403223,-0.332525,0.00128692,-0.0745409,0.130958,0.219636,0.599918,0.573791,0.444272,0.119326,0.0914207,0.630017,0.81158,0.446726,0.736476,0.510013,0.521873,0.77022,0.662811,0.443176,0.180983,0.566911,0.753888,0.431222,0.360906,0.378272,0.224497,0.530389,0.509465
"ORNT1",-0.0974225,-0.815901,-0.255291,-1.08868,-0.660467,-0.753267,NA,-1.1577,-0.502507,-1.42785,-1.15021,-1.58715,-1.04695,0.205305,-1.09681,-1.49197,-1.61817,-0.441851,-1.32634,-0.947504,-1.96335,-2.12573,-1.95964,NA,-2.18349,-2.38048,NA,-0.629429,NA,NA,-2.74519,-2.17511,-1.21519,-0.500974,-0.854676,-0.78098,-1.85588,NA
"KCY",-0.502286,0.292027,0.256659,-0.0202371,0.324614,0.864349,0.212504,-0.77189,-0.49647,0.0564625,-0.0417357,0.284697,0.0343011,-0.105334,0.23879,0.193034,-0.201741,0.503107,0.117297,0.339252,1.16706,1.53688,1.54811,1.36042,1.27545,1.45594,1.10584,1.75429,1.87689,1.4603,1.57997,1.79345,1.57419,-0.127235,-0.412162,-0.0925981,-0.0288365,0.0314506
"UBP7",0.791366,1.12437,0.752976,0.639883,0.340148,1.02169,0.664276,0.713852,0.688518,0.440428,0.284204,0.676676,-0.0567536,0.562636,0.374788,0.205729,0.680563,1.17117,0.597912,0.43754,0.437274,0.633098,0.703622,0.761037,0.729355,0.571334,1.06835,0.132078,1.09442,0.86793,0.708139,0.667201,0.408169,0.0428196,0.115952,0.317853,0.613496,0.634564
"PLOD3",-3.0932,-3.66439,-3.21962,-2.86738,-2.8879,-2.89656,-3.22844,-3.02192,-3.35691,-2.82814,-3.62919,-2.72154,-2.96991,-3.60996,-3.19247,-2.57411,-2.98702,-3.32627,-2.50451,-2.92173,-3.85114,-4.11735,-3.90783,-4.68554,-3.73142,-3.78204,-3.34215,-3.72623,-1.98201,-2.80107,-3.81158,-3.4312,-2.81275,-1.58718,-2.21716,-2.67411,-2.271,-2.48857
"PEDF",7.25302,3.51885,5.35165,5.19569,4.23532,4.68834,4.51046,5.16229,4.36378,4.75394,5.28659,NA,5.41117,4.28103,4.0656,5.8742,4.95664,6.04168,5.58781,3.15519,3.66226,4.1317,NA,NA,5.14475,3.73003,NA,NA,NA,NA,NA,NA,4.51835,6.65958,5.03943,4.42427,4.5617,5.93962
"RB12B",-0.420348,0.240804,0.0130473,0.587706,0.0599258,0.943502,-0.665787,0.96423,0.470757,0.456966,-0.136681,-0.120938,-0.169417,0.577594,-0.850832,0.632704,0.0865847,0.0546839,0.301978,0.183823,0.469991,0.437989,0.132467,0.506577,0.807412,0.245948,0.714532,0.683124,-0.0605654,-0.29026,0.850651,0.952841,0.182337,0.534866,0.864077,0.594405,0.576516,1.08055
"UBP2L",-0.452132,-0.266498,-0.379665,0.0962848,-0.898265,-0.637895,-0.43271,-0.0631278,-0.144048,0.41679,-1.01174,-0.34634,-1.337,-0.730873,-0.822925,-0.150066,-0.910864,-0.717149,-0.6774,-0.712648,-0.866459,-0.5001,-0.973989,-0.585459,-0.770808,-0.957356,-0.575944,-0.24334,-0.833612,-0.70637,-0.785621,-0.578077,-0.560428,-0.873282,-1.19607,-0.966828,-0.685411,-0.873468
"PDIA6",-0.555315,-0.615637,-0.5925,-0.375943,0.297484,-0.638219,-0.570746,-0.575378,-0.998251,-0.247234,-0.737496,0.267629,0.201857,-0.494434,0.0691635,0.442756,-0.338487,-0.096849,0.116592,-0.460238,-1.3871,-0.947918,-1.45623,-1.56211,-0.802092,-1.18886,-1.49815,-0.638357,-1.11727,-1.42004,-1.21407,-0.915928,-0.279607,0.695844,0.415637,0.47933,0.197594,-0.332652
"HNRPR",0.572043,0.676716,0.666428,0.643188,0.681294,0.784026,0.654228,0.367077,0.756845,0.313962,0.225844,0.754994,0.183133,0.563455,0.280164,0.781734,0.82553,0.738378,0.469799,0.271556,1.06152,1.02964,0.437079,0.582522,0.967033,0.674983,0.672988,0.808079,0.730309,0.339015,0.782161,0.794762,1.01708,0.624554,0.800684,0.657734,0.525048,0.987703
"CPPED",0.941946,2.34149,1.00711,1.91261,2.27604,1.92873,1.8318,1.90349,2.1066,2.14081,2.36761,0.981292,1.7884,1.1443,1.54842,2.19441,1.21141,1.56066,2.02681,1.67618,1.46611,1.82639,1.25701,1.23467,2.68787,1.51057,1.73343,1.55103,NA,NA,2.64698,0.134888,1.3265,NA,NA,NA,1.87662,1.14214
"DPP2",3.39853,3.39743,4.08923,2.96641,3.45649,3.36436,3.93009,3.27775,3.00868,2.75185,2.10791,NA,2.04845,2.15677,0.708524,-0.0319993,1.38291,0.512647,2.57515,1.5867,1.78238,2.14259,0.403559,1.27473,0.95395,0.841473,3.51323,2.20612,NA,NA,2.29579,NA,2.19671,3.46013,2.61178,1.90551,2.91349,3.96946
"RPC9",0.112068,-0.245078,0.470047,0.208028,-0.133316,0.0770973,0.193243,0.524573,0.0743697,NA,-1.52388,-0.618329,-1.13752,-1.1977,NA,-1.01115,-0.740898,-1.16435,-0.989287,-1.33818,-1.17066,-1.04651,-1.08097,NA,-1.34533,NA,-0.430731,NA,NA,NA,-0.348685,-0.917734,NA,-0.2397,-0.115324,-0.37726,-0.157551,-0.145315
"ERH",0.467487,0.421269,0.536052,0.409092,0.277436,0.975585,0.427351,0.31364,NA,0.310342,-0.0937646,0.209216,NA,0.48189,NA,NA,NA,0.332373,0.158036,0.0317867,0.172029,0.809429,0.0538563,0.476702,0.580865,NA,0.339916,0.551919,0.514115,0.0411162,0.475274,0.662619,0.795438,0.576041,0.391488,0.396285,0.624302,0.407141
"NDK3",1.40307,1.8751,1.72956,1.96939,3.66347,1.55534,1.15942,1.73178,2.31894,2.30646,2.5991,1.01866,1.34611,0.572551,2.6519,-0.386123,1.30608,0.83566,1.47578,2.09889,1.88332,1.51273,2.16819,2.33904,1.08222,1.87629,2.22099,2.12859,1.29163,1.96807,-2.04497,1.76164,0.0622407,NA,NA,NA,-0.323448,NA
"NOLC1",-0.71854,-1.27322,0.665929,-0.588931,-1.7856,-1.03299,-1.08094,-0.107452,-0.393226,-0.658753,-3.96347,-1.48426,-2.3153,-1.97643,-2.89876,-1.13025,-1.73066,-1.8946,-1.24447,-1.88949,-1.9474,-1.48128,-1.96132,-1.77757,-1.75155,-1.98291,-1.72257,-1.36221,-1.69375,-2.14906,-2.01719,-1.22906,-3.56781,-0.680579,-0.941431,-1.3024,-0.534681,-1.03601
"CGBP1",0.806373,1.28841,0.6743,0.961316,0.361414,1.81733,1.1136,0.381575,1.32415,1.00387,0.491854,0.664767,0.883293,1.67448,-0.0756572,1.53966,1.29034,1.29201,0.959601,0.640434,1.39877,1.5834,0.912501,1.34919,1.5975,1.4026,1.26894,1.27469,1.53399,1.25504,1.44497,1.59767,1.27165,1.08376,0.978083,0.707655,1.13028,NA
"ALBU",8.84004,6.38072,8.69442,8.32085,9.79883,7.83526,8.75049,9.10513,9.32456,9.40408,6.57558,5.41501,9.27075,8.33316,9.60025,8.4575,9.33006,8.59661,8.93853,7.77067,10.4232,9.10199,9.73498,7.92036,9.15302,8.71489,8.04005,6.31161,7.56835,7.63508,7.08252,8.77938,7.79015,7.14055,7.44289,7.09814,7.72529,6.88611
"H2AW",1.30065,4.20491,3.22984,2.74646,5.45961,4.37143,1.42015,4.81697,4.41873,3.71455,2.09485,1.98109,3.04158,3.11249,3.20109,4.16869,4.33395,2.6191,3.06555,3.29174,7.31294,5.62576,5.34754,4.3949,5.90399,5.42293,5.2412,5.67972,4.7057,4.60084,5.36371,5.59671,5.48039,3.40873,4.3094,4.93774,4.09978,3.8879
"CADH2",-0.248118,0.51212,-0.52439,0.168884,-1.05396,0.789285,1.26079,1.39947,1.95928,1.64178,0.911003,1.41134,-0.27103,0.297672,1.41426,0.762004,0.217301,0.608904,1.73654,0.968578,0.937322,0.805492,0.979583,1.37456,1.23722,0.864388,0.701639,1.54335,-0.0890279,1.60654,1.28011,2.59034,1.07939,1.46367,1.71228,2.04518,1.70094,1.109
"TACC1",-2.38092,-2.85974,NA,-2.29696,-2.20125,-1.08167,NA,-1.64215,-1.7726,-1.64767,-0.350019,-1.68711,-1.28426,-1.63928,-1.08076,-1.6364,-1.48536,-0.932561,-1.53303,-0.33215,-1.33572,-2.57962,-0.90528,-0.75273,-1.50705,-1.89079,NA,-1.7141,NA,NA,-1.28702,-1.98407,-1.46152,-1.23597,-2.22686,-0.615203,-1.04844,-1.74325
