D00043	Isoflurophate
D01976	N-Methylscopolamine methylsulfate (JAN) &lt;JP&gt;
D01977	Gefitinib (JAN/USAN/INN) &lt;JP/US&gt;
D01978	Trimetoquinol hydrochloride
D01981	Ximelagatran (JAN/USAN/INN)
D01984	Esomeprazole magnesium (USP) &lt;JP/US&gt;
D01986	Estriol tripropionate (JAN)
D01987	Pipethanate ethobromide (JAN)
D01989	Estriol diacetate benzoate (JAN)
D01992	Tandospirone citrate (JAN/USAN) &lt;JP&gt;
D01994	Mosapride citrate hydrate (JP17) &lt;JP&gt;
D01998	Prednisolone farnesylate (JAN)
D02004	Apomorphine hydrochloride (USP) &lt;JP/US&gt;
D02007	Protirelin tartrate hydrate (JP17) &lt;JP&gt;
D02008	Tadalafil (JAN/USP/INN) &lt;JP/US&gt;
D02013	Clemizole undecylate (JAN)
D02014	Angiotensin II (USAN)
D02016	Ramosetron hydrochloride (JAN) &lt;JP&gt;
D02017	Oxtriphylline (USP)
D02018	Hexestrol diacetate (JAN)
D02021	Secretin (JAN/USAN/INN) &lt;US&gt;
D02022	Prochlorperazine mesilate (JAN) &lt;JP&gt;
D02028	Diammonium glycyrrhizinate (JAN)
D02032	Betamethasone butyrate propionate (JAN) &lt;JP&gt;
D02034	Setiptiline maleate (JAN) &lt;JP&gt;
D02035	Timiperone (JAN) &lt;JP&gt;
D02037	Perphenazine maleate (JP17) &lt;JP&gt;
D02040	Pralmorelin dihydrochloride (USAN) &lt;JP&gt;
D02041	Tropisetron hydrochloride (JAN)
D02042	Olprinone hydrochloride hydrate (JAN) &lt;JP&gt;
D02045	Benidipine hydrochloride (JP17) &lt;JP&gt;
D02047	Dextran sulfate sodium (JAN)
D02048	Clinprost (JAN/INN)
D02064	Pridinol mesilate (JAN) &lt;JP&gt;
D02066	Isoproterenol sulfate (USP)
D02067	Diphenylimidazole (JAN)
D02068	Tacrine hydrochloride (USP)
D02069	Atropine sulfate (JP17/USP) &lt;JP/US&gt;
D02070	Homatropine methylbromide (USP)
D02071	Scopolamine hydrobromide (USP) &lt;JP&gt;
D02073	Gemeprost (JAN/USAN/INN) &lt;JP&gt;
D02074	Amphetamine sulfate (USP) &lt;US&gt;
D02076	Brimonidine tartrate (JAN/USAN) &lt;JP/US&gt;
D02078	Dextroamphetamine sulfate (USP) &lt;US&gt;
D02080	Phendimetrazine tartrate (USP) &lt;US&gt;
D02081	Metipranolol hydrochloride
D02082	Eprosartan mesylate (USAN)
D02084	Inamrinone ethylenelactate
D02085	Milrinone lactate &lt;US&gt;
D02086	Lidocaine hydrochloride (JAN/USP) &lt;JP/US&gt;
D02087	Moricizine hydrochloride (USP)
D02088	Tocainide hydrochloride (USP)
D02089	Buclizine hydrochloride (USAN)
D02090	Cyclizine lactate (BAN)
D02091	Tripelennamine hydrochloride (USP)
D02092	Cisapride (JAN)
D02093	Isoetharine hydrochloride (USP)
D02095	Naltrexone hydrochloride (USP) &lt;US&gt;
D02096	Fosphenytoin sodium (USP) &lt;US&gt;
D02097	Tiagabine hydrochloride (USP) &lt;US&gt;
D02098	Proparacaine hydrochloride (USP) &lt;US&gt;
D02100	Ziprasidone mesylate (USAN) &lt;US&gt;
D02101	Codeine phosphate (USP) &lt;JP&gt;
D02102	Methadone hydrochloride (JAN/USP) &lt;JP/US&gt;
D02103	Phenytoin sodium (USP) &lt;JP/US&gt;
D02104	Nalmefene hydrochloride
D02105	Tetracosactide acetate (JAN) &lt;JP&gt;
D02106	Arsenic trioxide (JP17/USAN) &lt;JP/US&gt;
D02108	Indium In 111 pentetreotide (USP) &lt;JP/US&gt;
D02109	dl-Methylephedrine hydrochloride (JP17) &lt;JP&gt;
D02110	Indomethacin sodium (USP) &lt;JP/US&gt;
D02111	Pentazocine lactate (USP)
D02112	Heparin sodium (JP17/USP/INN) &lt;JP/US&gt;
D02115	Methotrexate sodium &lt;US&gt;
D02116	Histrelin acetate &lt;US&gt;
D02117	Sermorelin acetate (USAN)
D02118	Glucagon hydrochloride &lt;US&gt;
D02130	Tropisetron (INN)
D02147	Albuterol (USP)
D02148	Phenindamine tartrate (USAN)
D02149	Epinephrine bitartrate (JAN/USP)
D02150	l-Isoprenaline hydrochloride (JP17) &lt;JP&gt;
D02151	Tulobuterol (JP17/INN) &lt;JP&gt;
D02156	Prednisolone hemisuccinate (USP)
D02162	Chlorprothixene hydrochloride (JAN)
D02163	Fluphenazine maleate (JAN) &lt;JP&gt;
D02165	Docetaxel (USP) &lt;JP/US&gt;
D02166	Mitoxantrone hydrochloride (JAN/USP) &lt;JP/US&gt;
D02168	Topotecan hydrochloride (USAN) &lt;JP/US&gt;
D02170	Indeloxazine hydrochloride (JAN/USAN)
D02173	Galantamine hydrobromide (JAN/USP) &lt;JP/US&gt;
D02174	Dexamethasone acetate (JAN/USP)
D02182	Cocaine hydrochloride (JP17/USP) &lt;JP/US&gt;
D02193	Echothiophate iodide (USP) &lt;US&gt;
D02194	Cilastatin sodium (JP17/USP)
D02197	Vincristine sulfate (JP17/USP) &lt;JP/US&gt;
D02200	Pilocarpine hydrochloride (JP17/USP) &lt;JP/US&gt;
D02202	Lobeline hydrochloride (JAN)
D02204	Hexamethonium bromide (JAN/INN)
D02205	Ethylmorphine hydrochloride hydrate (JP17)
D02206	Buformin hydrochloride (JP17) &lt;JP&gt;
D02207	Tubocurarine chloride (USP)
D02208	Sultopride hydrochloride (JAN) &lt;JP&gt;
D02211	Dihydroergotamine mesylate (USP) &lt;US&gt;
D02212	Ipratropium bromide (USP) &lt;JP/US&gt;
D02213	Metoclopramide hydrochloride (JAN) &lt;JP&gt;
D02214	Epirubicin hydrochloride (JP17/USP) &lt;JP/US&gt;
D02217	Raloxifene hydrochloride (JAN/USP) &lt;JP/US&gt;
D02218	Papaverine hydrochloride (JP17/USP) &lt;JP&gt;
D02220	Dibucaine hydrochloride (JP17/USP)
D02227	Pentazocine hydrochloride (JAN/USP) &lt;JP&gt;
D02229	Sildenafil citrate (JAN/USP) &lt;JP/US&gt;
D02234	Cyproheptadine hydrochloride (JP17/USP) &lt;JP/US&gt;
D02235	Desmopressin acetate (USP) &lt;JP/US&gt;
D02236	Flupentixol dihydrochloride (JAN)
D02237	Guanethidine sulfate (USAN)
D02238	Levallorphan tartrate (JP17) &lt;JP&gt;
D02239	Sparteine sulfate (JAN/USAN)
D02242	Methamphetamine hydrochloride (JP17/USP) &lt;JP/US&gt;
D02245	Trimeprazine tartrate (USP) &lt;JP&gt;
D02246	Biperiden hydrochloride (JP17/USP) &lt;JP&gt;
D02247	Biperiden lactate (JAN/USP) &lt;JP&gt;
D02248	Levomepromazine maleate (JP17/USAN) &lt;JP&gt;
D02249	Emedastine difumarate (JP17/USP) &lt;JP/US&gt;
D02250	Octreotide acetate (JAN) &lt;JP&gt;
D02252	Amobarbital sodium (JAN/USP)
D02253	Pentobarbital calcium (JP17) &lt;JP&gt;
D02258	Atorvastatin calcium (USP) &lt;JP/US&gt;
D02260	Paroxetine hydrochloride hemihydrate (USP) &lt;JP/US&gt;
D02264	Dipotassium glycyrrhizinate (JAN) &lt;JP&gt;
D02268	Ergoloid mesylates (USP)
D02271	Morphine hydrochloride hydrate (JP17) &lt;JP&gt;
D02272	Quinidine sulfate (USP) &lt;JP/US&gt;
D02275	Suxamethonium chloride hydrate (JP17) &lt;JP&gt;
D02281	Levalbuterol hydrochloride (USP) &lt;US&gt;
D02283	Iomazenil (123I) (JAN/INN) &lt;JP&gt;
D02286	Betamethasone benzoate (USP)
D02287	Clocortolone pivalate (USP) &lt;US&gt;
D02288	Hydrocortisone valerate (USP) &lt;US&gt;
D02289	Medrysone (USAN)
D02290	Flurbiprofen sodium (USP) &lt;US&gt;
D02292	Gallamine triethiodide (USP)
D02300	Adenosine triphosphate disodium hydrate (JAN) &lt;JP&gt;
D02321	Amsacrine (USAN/INN)
D02323	Tolrestat (USAN/INN)
D02327	Doxylamine succinate (USP)
D02328	Zopolrestat (USAN/INN)
D02338	Acebutolol (USAN/INN)
D02340	Loxapine (USAN/INN) &lt;US&gt;
D02341	Meclofenamic acid (USAN/INN)
D02342	Bisoprolol (JAN/USAN/INN) &lt;JP&gt;
D02343	Carboprost (USAN/INN)
D02349	Dipivefrin (USAN)
D02350	Fenoprofen (USAN/INN)
D02354	Thiethylperazine (USAN/INN)
D02355	Tolmetin (USAN/INN)
D02356	Verapamil (USAN/INN)
D02357	Methysergide (USAN/INN)
D02358	Metoprolol (USAN/INN)
D02359	Ritodrine (USAN/INN)
D02360	Sertraline (INN)
D02362	Paroxetine (USP/INN)
D02363	Ketanserin (USAN/INN)
D02364	Lobeline (INN)
D02365	Oxypurinol (USAN)
D02367	Desogestrel (USAN/INN)
D02368	Gemcitabine (USAN/INN)
D02369	Histrelin (USAN/INN)
D02371	Clocapramine hydrochloride hydrate (JP17) &lt;JP&gt;
D02372	Perospirone hydrochloride hydrate (JAN) &lt;JP&gt;
D02374	Metipranolol (USAN/INN)
D02381	Aspartame (NF/INN)
D02384	Verlukast (USAN/INN)
D02385	Levcromakalim (USAN/INN)
D02386	Ticrynafen (USAN)
D02388	Levonordefrin (USP)
D02389	Primidolol (USAN/INN)
D02396	Hexoprenaline sulfate (USAN)
D02398	Estramustine phosphate sodium (USAN)
D02404	Procaterol hydrochloride (USAN)
D02407	Lidamidine hydrochloride (USAN)
D02408	Trimipramine maleate (JAN/USP) &lt;JP/US&gt;
D02410	Selfotel (USAN/INN)
D02417	Flutropium bromide (JAN)
D02418	Physostigmine salicylate (JAN/USP)
D02419	Diphenhydramine salicylate (JAN)
D02425	Carbutamide (INN)
D02427	Glibornuride (USAN/INN)
D02430	Gliquidone (INN)
D02441	Ethoxzolamide
D02451	Fadrozole hydrochloride (USAN)
D02453	Flumethiazide (INN)
D02456	Aminobenzoic acid (USP)
D02500	Imiquimod (JAN/USP/INN) &lt;JP/US&gt;
D02535	Timepidium bromide hydrate (JP17) &lt;JP&gt;
D02537	Dronedarone (INN)
D02558	Rivastigmine tartrate &lt;US&gt;
D02559	Toloxatone (INN)
D02560	Brofaromine (INN)
D02561	Moclobemide (USAN/INN)
D02562	Rasagiline mesylate (USAN) &lt;JP/US&gt;
D02563	Befloxatone (INN)
D02564	Pargyline hydrochloride (USAN)
D02565	Dimetacrine (INN)
D02566	Maprotiline (USAN)
D02567	Escitalopram oxalate (JAN/USP) &lt;JP/US&gt;
D02568	Flesinoxan (INN)
D02569	Sunepitron hydrochloride (USAN)
D02570	Desvenlafaxine succinate (USAN) &lt;US&gt;
D02571	Sibutramine hydrochloride (USP)
D02572	Viloxazine hydrochloride (USAN)
D02573	Reboxetine mesylate (USAN)
D02574	Atomoxetine hydrochloride (JAN/USP) &lt;JP/US&gt;
D02576	Eptapirone (INN)
D02577	Flibanserin (USAN/INN) &lt;US&gt;
D02578	Agomelatine (INN)
D02579	Iproniazid (INN)
D02580	Isocarboxazid (INN) &lt;US&gt;
D02581	Cimoxatone (INN)
D02587	Metildigoxin (JP17) &lt;JP&gt;
D02588	Montirelin (INN)
D02590	Israpafant (JAN/INN)
D02591	Dexamethasone acefurate (USAN/INN)
D02592	Dexamethasone beloxil (USAN)
D02593	Pantoprazole sodium (USP) &lt;US&gt;
D02594	Abecarnil (INN)
D02596	Tocilizumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D02597	Adalimumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D02598	Infliximab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D02599	Orphenadrine hydrochloride
D02603	Diethazine hydrochloride
D02604	Acepromazine maleate (USP)
D02605	Methoxypromazine maleate
D02608	Perazine fendizoate (JAN)
D02609	Prochlorperazine edisylate (USP) &lt;US&gt;
D02610	Thiethylperazine malate (JAN)
D02612	Thiothixene hydrochloride (USP)
D02613	Clopenthixol (USAN)
D02614	Denopamine (JAN/INN) &lt;JP&gt;
D02616	Pagoclone (USAN/INN)
D02617	Ocinaplon (USAN/INN)
D02618	Butobarbital (BAN)
D02622	Pipamperone (USAN/INN)
D02623	Moperone (INN)
D02624	Eszopiclone (JAN/USP/INN) &lt;JP/US&gt;
D02625	Trifluperidol (USAN/INN)
D02626	Bromperidol decanoate (USAN)
D02627	Benperidol (USAN/INN)
D02630	Penfluridol (USAN/INN)
D02631	Dilazep dihydrochloride hydrate (JP17) &lt;JP&gt;
D02632	Indisetron hydrochloride (JAN)
D02633	Lomerizine hydrochloride (JAN) &lt;JP&gt;
D02634	Alentemol hydrobromide (USAN)
D02640	Indiplon (USAN/INN)
D02641	Butaclamol hydrochloride (USAN)
D02644	Carphenazine maleate (USAN)
D02645	Carvotroline hydrochloride (USAN)
D02655	Etazolate hydrochloride (USAN)
D02656	Fananserin (USAN/INN)
D02664	Mirimostim (JAN/INN) &lt;JP&gt;
D02666	Iloperidone (USAN/INN) &lt;US&gt;
D02670	Mazapertine succinate (USAN)
D02671	Mesoridazine (USAN/INN)
D02675	Ocaperidone (USAN)
D02676	Oxiperomide (USAN/INN)
D02680	Pipotiazine palmitate (USAN)
D02681	Piquindone hydrochloride (USAN)
D02682	Remoxipride (USAN)
D02683	Remoxipride hydrochloride (USAN)
D02684	Rimcazole hydrochloride (USAN)
D02686	Setoperone (USAN/INN)
D02688	Tiospirone hydrochloride (USAN)
D02689	Ramelteon (JAN/USAN/INN) &lt;JP/US&gt;
D02691	Somatropin (USP/INN) &lt;JP/US&gt;
D02692	Menotropins (USAN) &lt;JP&gt;
D02693	Devazepide (USAN/INN)
D02696	Talampanel (INN)
D02697	Valrubicin (USP/INN) &lt;US&gt;
D02698	Teniposide (USP/INN) &lt;US&gt;
D02702	Talibegron hydrochloride (USAN)
D02704	Tampramine fumarate (USAN)
D02705	Alprostadil alfadex (JP17) &lt;JP&gt;
D02709	Valdecoxib (USAN/INN)
D02710	Tarazepide (INN)
D02714	Everolimus (JAN/USAN/INN) &lt;JP/US&gt;
D02716	Pregabalin (JAN/USAN/INN) &lt;JP/US&gt;
D02719	Rosaprostol (INN)
D02720	Beraprost (USAN)
D02721	Iloprost (USAN/INN) &lt;JP/US&gt;
D02722	Limaprost (INN)
D02723	Ecraprost (USAN/INN)
D02724	Bimatoprost (JAN/USAN/INN) &lt;JP/US&gt;
D02725	Sulprostone (USAN/INN)
D02726	Meteneprost (USAN/INN)
D02727	Cloprostenol sodium (USP)
D02729	Itopride hydrochloride (JAN) &lt;JP&gt;
D02730	Tegaserod maleate (USAN) &lt;US&gt;
D02731	Vardenafil dihydrochoride (USAN)
D02732	Pranlukast hydrate (JP17) &lt;JP&gt;
D02735	Rimabotulinumtoxin B (USAN) &lt;JP/US&gt;
D02738	Abarelix (USAN/INN)
D02739	Ablukast (USAN/INN)
D02741	Ablukast sodium (USAN)
D02743	Celmoleukin (genetical recombination) (JP17)
D02744	Interferon alfacon-1 (USAN/INN)
D02745	Interferon alfa-2b (USAN) &lt;US&gt;
D02747	Peginterferon alfa-2a (USAN/INN) &lt;JP/US&gt;
D02748	Peginterferon alfa-2b (USAN/INN) &lt;JP/US&gt;
D02749	Teceleukin (USAN) &lt;JP&gt;
D02750	Aceclidine (USAN/INN)
D02754	Acitretin (USP/INN) &lt;US&gt;
D02755	Acivicin (USAN/INN)
D02756	Aclarubicin (USAN/INN)
D02758	Acolbifene hydrochloride (USAN)
D02760	Acrivastine (USAN/INN)
D02762	Actisomide (USAN/INN)
D02765	Adaprolol maleate (USAN)
D02767	Adatanserin hydrochloride (USAN)
D02769	Adenosine phosphate (USAN/INN)
D02770	Adinazolam (USAN/INN)
D02771	Adinazolam mesylate (USAN)
D02774	Adrenalone (USAN/INN)
D02775	Adrogolide hydrochloride (USAN)
D02778	Abciximab (USAN/INN) Monoclonal antibody
D02780	Acamprosate calcium (JAN/USAN) &lt;JP/US&gt;
D02784	Agalsidase alfa (USAN/INN) &lt;JP&gt; Enzyme replacement therapy product
D02787	Alaproclate (USAN/INN)
D02800	Alefacept (USAN/INN)
D02801	Alemcinal (USAN/INN)
D02802	Alemtuzumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D02810	Alglucerase (JAN/USAN/INN) Enzyme replacement therapy product
D02811	Alicaforsen sodium (USAN) Antisense oligonucleotide
D02815	Alitretinoin (USAN) &lt;US&gt;
D02824	Almotriptan (USAN)
D02825	Almotriptan malate (USP) &lt;US&gt;
D02826	Alniditan dihydrochloride (USAN)
D02829	Alosetron hydrochloride (USAN) &lt;US&gt;
D02833	Alpidem (USAN/INN)
D02834	Alprenoxime hydrochloride (USAN)
D02835	Alrestatin sodium (USAN)
D02836	Altanserin tartrate (USAN)
D02839	Altinicline maleate (USAN)
D02840	Altrenogest (USAN/INN)
D02846	Cinalukast (USAN/INN)
D02848	Pobilukast edamine (USAN)
D02849	Ritolukast (USAN/INN)
D02850	Sulukast (USAN/INN)
D02851	Tomelukast (USAN/INN)
D02860	Limaprost alfadex (JP17) &lt;JP&gt;
D02876	Alvameline maleate (USAN)
D02878	Alvimopan (USAN) &lt;US&gt;
D02880	Alvocidib hydrochloride (USAN)
D02881	Amadinone acetate (USAN)
D02893	Amesergide (USAN/INN)
D02896	Amflutizole (USAN/INN)
D02897	Amfonelic acid (USAN)
D02901	Amidephrine mesylate (USAN)
D02906	Aminobenzoate potassium (USP)
D02907	Aminobenzoate sodium (USP)
D02910	Amiodarone (USAN/INN)
D02914	Amlodipine maleate (USAN)
D02933	Anagrelide hydrochloride (USP)
D02934	Anakinra (USAN/INN) &lt;US&gt;
D02935	Anaritide acetate (USAN)
D02937	Ancestim (USAN/INN)
D02939	Angiotensin amide (USAN)
D02941	Anileridine (USP/INN)
D02942	Anileridine hydrochloride (USP)
D02950	Antazoline phosphate (USP)
D02956	Anticoagulant heparin (USP)
D02964	Apaxifylline (USAN/INN)
D02967	Apolizumab (USAN/INN) Monoclonal antibody
D02968	Aprepitant (JAN/USP/INN) &lt;JP/US&gt;
D02969	Aprindine (USAN/INN)
D02970	Aprinocarsen sodium (USAN) Antisense oligonucleotide
D02972	Aptazapine maleate (USAN)
D02973	Aptiganel hydrochloride (USAN)
D02975	Arbaprostil (USAN/INN)
D02976	Arbutamine hydrochloride (USAN)
D02977	Arcitumomab (USAN/INN) Monoclonal antibody
D02979	Ardenermin (USAN)
D02980	Adomiparin sodium (USAN)
D02981	Arformoterol tartrate (USAN) &lt;US&gt;
D02983	Argipressin tannate (USAN)
D02985	Arofylline (USAN/INN)
D02991	Articaine hydrochloride (JAN/USP)
D02993	Arzoxifene hydrochloride (USAN)
D02994	Rituximab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D02995	Asenapine maleate (JAN/USAN) &lt;JP/US&gt;
D02996	Asoprisnil (USAN/INN)
D03002	Atipamezole (USAN/INN)
D03005	Atiprosin maleate (USAN)
D03008	Atosiban (USAN/INN)
D03009	Atrasentan hydrochloride (USAN)
D03010	Atreleuton (USAN/INN)
D03011	Atropine oxide hydrochloride (USAN)
D03012	Avasimibe (USAN/INN)
D03014	Avitriptan fumarate (USAN)
D03020	Imiglucerase (USAN/INN) &lt;JP/US&gt; Enzyme replacement therapy product
D03021	Azacitidine (JAN/USAN/INN) &lt;JP/US&gt;
D03025	Azalanstat dihydrochloride (USAN)
D03037	Azimilide dihydrochloride (USAN)
D03051	Bamifylline hydrochloride (USAN)
D03056	Barmastine (USAN/INN)
D03058	Basiliximab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D03059	Batabulin sodium (USAN)
D03060	Batanopride hydrochloride (USAN)
D03061	Batimastat (USAN/INN)
D03062	Bazedoxifene acetate (JAN/USAN) &lt;JP&gt;
D03065	Becaplermin (USAN/INN) &lt;US&gt;
D03066	Bectumomab (USAN/INN) Monoclonal antibody
D03067	Belfosdil (USAN/INN)
D03068	Belimumab (USAN) &lt;JP/US&gt; Monoclonal antibody
D03073	Bemesetron (USAN/INN)
D03075	Bemoradan (USAN/INN)
D03076	Benapryzine hydrochloride (USAN)
D03077	Benazeprilat (USAN/INN)
D03079	Benorterone (USAN/INN)
D03080	Benoxaprofen (USAN/INN)
D03082	Benserazide (USAN/INN)
D03087	Benzetimide hydrochloride (USAN)
D03088	Benzilonium bromide (USAN/INN)
D03095	Benzylpenicilloyl polylysine (USP) &lt;US&gt;
D03100	Besonprodil (USAN)
D03102	Betahistine hydrochloride (USP)
D03106	Bexarotene (JAN/USAN/INN) &lt;JP/US&gt;
D03107	Bexlosteride (USAN/INN)
D03114	Bimosiamose disodium (USAN)
D03115	Fasudil hydrochloride hydrate (JAN) &lt;JP&gt;
D03116	Bindarit (USAN/INN)
D03120	Binodenoson (USAN/INN)
D03121	Binospirone mesylate (USAN)
D03128	Biricodar dicitrate (USAN)
D03136	Bivalirudin (USAN/INN) &lt;US&gt;
D03144	Bolasterone (USAN/INN)
D03145	Boldenone undecylenate (USAN)
D03150	Bortezomib (JAN/USAN/INN) &lt;JP/US&gt;
D03153	Brasofensine maleate (USAN)
D03154	Brequinar sodium (USAN)
D03155	Bretazenil (USAN/INN)
D03156	Brifentanil hydrochloride (USAN)
D03158	Brocresine (USAN/INN)
D03163	Bromfenac sodium (USAN) &lt;JP/US&gt;
D03165	Bromocriptine (USAN/INN)
D03166	Bromodiphenhydramine hydrochloride (USP)
D03170	Bucindolol hydrochloride (USAN)
D03177	Bunolol hydrochloride (USAN)
D03180	Butabarbital (USP)
D03187	Butaprost (USAN/INN)
D03195	Butopamine (USAN/INN)
D03197	Butorphanol (USAN/INN)
D03198	Butoxamine hydrochloride (USAN)
D03203	Abatacept (USAN/INN) &lt;JP/US&gt;
D03207	Alglucosidase alfa (USAN/INN) &lt;JP/US&gt; Enzyme replacement therapy product
D03208	Aliskiren (USAN/INN)
D03210	Ancriviroc (USAN/INN)
D03212	Apadenoson (USAN)
D03213	Apixaban (JAN/USAN/INN) &lt;JP/US&gt;
D03214	Aplindore fumarate (USAN)
D03215	Armodafinil (USAN/INN) &lt;US&gt;
D03216	Atilmotin (USAN/INN)
D03217	Avanafil (USAN/INN)
D03218	Axitinib (JAN/USAN) &lt;JP/US&gt;
D03220	Becatecarin (USAN/INN)
D03221	Befetupitant (USAN/INN)
D03222	Belatacept (USAN/INN) &lt;US&gt;
D03225	Belotecan hydrochloride (USAN)
D03228	Agalsidase beta (INN) &lt;JP/US&gt; Enzyme replacement therapy product
D03230	Insulin human (USP/INN) &lt;JP/US&gt;
D03231	Epoetin alfa (USAN/INN) &lt;JP/US&gt;
D03232	Epoetin beta (USAN/INN) &lt;JP&gt;
D03234	Sodium risedronate hydrate (JP17) &lt;JP/US&gt;
D03235	Filgrastim (USP/INN) &lt;JP/US&gt;
D03239	Ladostigil tartrate (USAN)
D03241	Nitecapone (INN)
D03245	Nartograstim (genetical recombination) (JP17)
D03247	Lenograstim (USAN/INN) &lt;JP&gt;
D03248	Clorgiline (INN)
D03250	Insulin glargine (USAN/INN) &lt;JP/US&gt;
D03252	Bosutinib (USAN)
D03254	Flufenamate aluminum (JAN) &lt;JP&gt;
D03257	Trastuzumab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D03259	Gemtuzumab ozogamicin (USAN) &lt;JP/US&gt; Antibody-drug conjugate
D03260	Vardenafil hydrochloride hydrate (JAN) &lt;JP/US&gt;
D03264	Mazaticol hydrochloride hydrate (JAN) &lt;JP&gt;
D03267	Gonadorelin diacetate (JP17) &lt;JP&gt;
D03269	Dinoprostone betadex (JAN)
D03274	Chlorpromazine hibenzate (JAN)
D03276	Profenamine hibenzate (JAN)
D03285	Diphenhydramine tannate (JP17)
D03287	Elcatonin (JP17/INN) &lt;JP&gt;
D03290	Promethazine methylenedisalicylate (JAN) &lt;JP&gt;
D03297	Mecasermin (USAN/INN) &lt;JP/US&gt;
D03301	Prednisolone valerate acetate (JAN) &lt;JP&gt;
D03304	Interferon beta (JAN) &lt;JP&gt;
D03305	Interferon alfa (NAMALWA) (JP17) &lt;JP&gt;
D03325	Mometasone furoate hydrate (JAN) &lt;JP/US&gt;
D03326	Somatorelin acetate (JAN) &lt;JP&gt;
D03328	Carperitide (USAN/INN) &lt;JP&gt;
D03330	Kallidinogenase (JP17/INN) &lt;JP&gt;
D03337	Reviparin sodium (JAN)
D03338	Calusterone (USAN/INN)
D03342	Camiglibose (USAN)
D03343	Dextran sulfate sodium sulfur 5 (JP17) &lt;JP&gt;
D03349	Candoxatrilat (USAN/INN)
D03350	Canertinib dihydrochloride (USAN)
D03353	Dalteparin sodium (JAN/USP/INN) &lt;JP/US&gt;
D03357	Interferon gamma-1a (genetical recombination) (JAN) &lt;JP&gt;
D03358	Teriparatide acetate (JAN) &lt;JP&gt;
D03359	Cangrelor (USAN/INN)
D03360	Diphenhydramine laurylsulfate (JAN) &lt;JP&gt;
D03361	Cangrelor tetrasodium (USAN) &lt;US&gt;
D03363	Canrenone (USAN)
D03365	Nicotine (USP) &lt;JP/US&gt;
D03372	Capromab pendetide (USAN) Monoclonal antibody
D03373	Capromorelin tartrate (USAN)
D03378	Caracemide (USAN)
D03399	Carboprost methyl (USAN)
D03402	Carbuterol hydrochloride (USAN)
D03405	Carfentanil citrate (USAN)
D03406	Cariporide mesylate (USAN)
D03409	Caroxazone (USAN/INN)
D03410	Carprofen (USP/INN)
D03415	Carvedilol phosphate (USAN) &lt;US&gt;
D03420	Cedelizumab (USAN/INN) Monoclonal antibody
D03436	Cellulose, oxidized (JAN/USP) &lt;JP&gt;
D03440	Ceronapril (USAN/INN)
D03441	Certolizumab pegol (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D03442	Ceruletide (USAN/INN)
D03443	Ceruletide diethylamine (USAN)
D03447	Cetaben sodium (USAN)
D03449	Cetamolol hydrochloride (USAN)
D03455	Cetuximab (USAN/INN) &lt;JP/US&gt; Monoclonal antibody
D03471	Chlorothiazide sodium (USP) &lt;US&gt;
D03475	Chlorpheniramine polistirex (USAN)
D03478	Choriogonadotropin alfa (USAN/INN) &lt;JP/US&gt;
D03490	Cicloprolol hydrochloride (USAN)
D03491	Cidoxepin hydrochloride (USAN)
D03492	Cifenline (USAN)
D03493	Ciglitazone (USAN/INN)
D03494	Ciladopa hydrochloride (USAN)
D03495	Cilansetron (USAN/INN)
D03496	Cilansetron hydrochloride (USAN)
D03497	Cilengitide (USAN/INN)
D03502	Cimaterol (USAN/INN)
D03503	Cimetidine hydrochloride (USP) &lt;US&gt;
D03504	Cinacalcet (USAN)
D03505	Cinacalcet hydrochloride (JAN/USAN) &lt;JP/US&gt;
D03506	Cinanserin hydrochloride (USAN)
D03515	Cioteronel (USAN/INN)
D03516	Cipamfylline (USAN/INN)
D03517	Cipemastat (USAN/INN)
D03518	Cipralisant maleate (USAN)
D03521	Ciprofibrate (USAN/INN)
D03522	Ciprostene calcium (USAN)
D03534	Clebopride (USAN)
D03535	Clemastine (USAN)
D03536	Clentiazem maleate (JAN/USAN)
D03541	Clocortolone acetate (USAN)
D03546	Clofarabine (JAN/USAN/INN) &lt;JP/US&gt;
D03547	Clofilium phosphate (USAN/INN)
D03551	Clometherone (USAN/INN)
D03556	Zuclopenthixol (INN)
D03561	Cloprednol (USAN/INN)
D03562	Clorazepate monopotassium (USAN)
D03568	Closiramine aceturate (USAN)
D03579	Codeine polistirex (USAN)
D03580	Codeine sulfate (USP) &lt;US&gt;
D03584	Colforsin (USAN/INN)
D03587	Colterol mesylate (USAN)
D03591	Corticorelin acetate (USAN)
D03592	Corticorelin ovine triflutate (USAN) &lt;US&gt;
D03593	Corticotropin zinc hydroxide
D03594	Cortivazol (USAN)
D03601	Crilvastatin (USAN/INN)
D03602	Crisnatol mesylate (USAN)
D03618	Cyclazocine (USAN/INN)
D03620	Cycliramine maleate (USAN)
D03621	Cyclizine (INN)
D03622	Cyclizine hydrochloride (USP)
D03639	Daclizumab (USAN/INN) Monoclonal antibody
